country,latitude,longitude,name
AF,33.93911,67.709953,Afghanistan
AN,12.226079,-69.060087,Netherlands Antilles
AU,-25.274398,133.775136,Australia
CN,35.86166,104.195397,China
DE,51.165691,10.451526,Germany
FJ,-16.578193,179.414413,Fiji
GB,55.378051,-3.435973,United Kingdom
GR,39.074208,21.824312,Greece
HR,45.1,15.2,Croatia
IN,20.593684,78.96288,India
IO,-6.343194,71.876519,British Indian Ocean Territory
IQ,33.223191,43.679291,Iraq
IR,32.427908,53.688046,Iran
IT,41.87194,12.56738,Italy
LB,33.854721,35.862285,Lebanon
LK,7.873054,80.771797,Sri Lanka
MT,35.937496,14.375416,Malta
MY,4.210484,101.975766,Malaysia
NL,52.132633,5.291266,Netherlands
NZ,-40.900557,174.885971,New Zealand
PH,12.879721,121.774017,Philippines
PK,30.375321,69.345116,Pakistan
SY,34.802075,38.996815,Syria
TR,38.963745,35.243322,Turkey
VN,14.058324,108.277199,Vietnam
ZA,-30.559482,22.937506,South Africa
