Country of Birth,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Rent Assistance,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,JobSeeker Payment,Low Income Card,Parenting Payment Partnered,Parenting Payment Single,Pension Concession Card,Special Benefit,Youth Allowance (other),Youth Allowance (student and apprentice)
Australia,"7,370","18,845","1,569,840","15,520","438,920","6,065","199,155","925,075","360,305","629,815","852,705","689,900","926,440","596,905","116,935","32,490","257,085","2,981,685",755,"77,990","94,590"
United Kingdom,10,5,"256,795",590,"27,890",195,"10,695","61,395","43,910","28,655","26,835","20,400","29,265","24,285","6,850",510,"4,750","314,525",50,400,"1,645"
New Zealand,10,5,"72,070",305,"9,805",105,"4,830","43,090","7,345","14,925","42,060","34,050","28,065","15,365","3,475",690,"5,525","89,735",15,255,750
China,0,0,"40,150",445,"9,320",90,"4,660","14,970","12,735","4,080","38,280","25,425","27,465","12,415","5,455","1,235","2,470","59,045",805,95,"2,285"
Italy,5,0,"74,360",35,"8,260",5,"2,155","4,525","14,530","3,320","1,550","1,150","2,645","1,735","1,375",45,165,"72,755",10,15,90
Vietnam,0,0,"24,705",200,"11,705",170,"7,930","14,090","1,540","8,705","24,280","17,840","17,665","16,230","2,525",985,"4,010","56,830",325,100,790
Iraq,0,0,"9,045",190,"16,830",100,"16,230","20,840",155,"8,845","17,415","13,560","16,395","12,710",555,"2,880","1,880","42,920",230,965,"1,665"
Greece,5,0,"58,465",20,"7,420",5,"1,805","3,610","6,750","3,100",970,715,"1,755","1,455",785,35,135,"52,590",10,30,115
India,0,0,"17,485",180,"6,495",150,"1,470","10,820","4,820","2,345","38,490","24,790","20,650","4,875","1,910","1,895","1,435","24,430",240,120,"1,700"
Lebanon,0,0,"19,225",55,"10,550",105,"8,065","9,340","1,065","7,985","9,500","7,305","7,900","7,080",605,"1,110","1,380","41,270",210,110,350
Philippines,5,5,"21,995",255,"7,810",130,"3,570","12,475","1,810","3,300","16,885","11,835","12,575","6,765","1,420",630,"2,155","33,785",190,220,"1,305"
Germany,5,5,"33,980",40,"2,795",20,930,"5,740","6,000","2,205","2,605","1,975","2,395","1,650",610,80,445,"37,625",15,25,145
Afghanistan,0,0,"2,730",180,"3,910",40,"3,305","10,670",45,"3,385","15,145","12,215","18,340","10,650",635,"3,220","1,335","14,755",390,905,"1,490"
Netherlands,0,5,"29,730",20,"2,025",5,705,"4,235","4,390","1,345","1,010",735,"1,225",755,420,15,140,"30,315",5,5,80
Yugoslavia,0,0,"24,255",15,"4,020",5,"1,685","3,315","1,355","4,225",890,620,995,"1,515",260,20,100,"29,565",0,0,5
South Africa,5,0,"13,770",215,"2,595",40,780,"6,665","3,705","2,145","6,190","4,680","5,640","3,170",675,155,"1,030","19,075",50,105,655
Malaysia,0,0,"12,460",100,"2,200",25,715,"3,305","5,345","1,455","4,195","2,805","4,555","2,260",940,135,355,"16,290",50,45,735
Malta,0,0,"21,300",5,"2,505",5,800,"1,565","3,565","1,375",315,230,815,460,570,5,40,"20,385",5,5,5
Sri Lanka,5,0,"11,705",65,"2,210",40,715,"4,650","2,315","1,395","6,360","4,175","5,315","2,480",830,325,390,"15,430",180,45,750
Syria,0,0,"3,240",60,"4,630",30,"4,465","7,015",100,"1,895","4,695","3,630","6,080","4,890",225,990,435,"12,560",40,470,820
Iran,0,0,"4,590",185,"2,565",30,"1,795","6,655",420,"2,445","5,745","4,735","6,375","4,460",450,550,"1,075","11,990",255,280,775
Turkey,0,0,"8,160",50,"3,450",15,"2,335","3,440",280,"4,545","2,900","2,200","2,665","2,710",250,180,405,"15,430",35,35,120
Croatia,0,0,"16,420",10,"2,390",5,850,"1,535","1,535","1,730",870,600,835,845,250,30,130,"17,565",5,5,10
Fiji,0,5,"7,980",45,"2,155",20,"1,105","4,690",885,"2,015","4,040","3,095","3,125","2,595",390,150,675,"13,200",75,35,110
Pakistan,5,5,"1,830",85,"2,080",50,990,"5,570",260,845,"10,970","8,550","9,300","2,990",520,"1,415",545,"5,380",125,205,"1,065"
Other,90,345,"226,705","1,960","52,175",650,"25,255","105,730","34,090","42,715","132,610","99,570","112,770","65,465","11,385","7,915","21,275","330,955","2,515","3,040","9,795"
Total,"7,485","19,210","2,582,990","20,820","646,720","8,080","306,985","1,295,005","519,260","788,785","1,267,510","996,785","1,271,240","806,715","160,290","57,685","309,370","4,360,090","6,565","85,505","121,850"
